year,gp,session_type,driver,lap_number,lap_time_s,compound,stint,tyre_age,p_full,p_part,p_coast,p_brk,decel_p10,shifts_per_km,throttle_avg,coast_avg_len,speed_std_norm
2022,Italian,FP3,VER,4,81.872,MEDIUM,1,4,81.514,0.66,0.579,8.718,-36.0,5.04,89.51,0.44,0.2048
2022,Italian,FP3,VER,7,86.203,MEDIUM,2,7,75.83,0.0,6.093,9.029,-31.31,5.214,92.05,0.528,0.2068
2022,Italian,FP3,VER,8,85.547,MEDIUM,2,8,78.486,0.0,2.882,10.387,-35.0,5.396,91.83,0.185,0.2041
2022,Italian,FP3,VER,9,86.04,MEDIUM,2,9,78.38,0.285,2.932,9.651,-34.38,5.395,90.98,0.467,0.2062
2022,Italian,FP3,VER,10,85.8,MEDIUM,2,10,78.075,0.583,4.373,9.261,-33.73,4.866,91.24,0.406,0.2057
2022,Italian,FP3,VER,11,85.878,MEDIUM,2,11,77.714,0.291,3.334,10.061,-33.33,4.871,90.89,0.325,0.2059
2022,Italian,FP3,VER,14,81.252,SOFT,3,2,81.792,1.628,0.745,10.499,-31.25,4.864,90.68,0.24,0.1996
2022,Italian,FP3,VER,17,81.463,SOFT,3,5,82.325,0.354,0.193,9.571,-43.75,5.384,90.4,0.2,0.2022
2022,Italian,FP3,RIC,2,84.01,MEDIUM,1,2,78.451,0.399,1.77,9.327,-37.5,6.428,89.78,0.341,0.2053
2022,Italian,FP3,RIC,4,83.627,MEDIUM,1,4,78.457,1.001,1.984,9.118,-33.44,6.082,89.36,0.346,0.2071
2022,Italian,FP3,RIC,6,83.698,MEDIUM,1,6,77.475,0.597,1.95,9.994,-34.62,6.09,89.11,0.416,0.2086
2022,Italian,FP3,RIC,7,86.597,MEDIUM,1,7,75.895,0.642,3.354,8.077,-35.0,5.921,88.72,0.435,0.2089
2022,Italian,FP3,RIC,12,83.134,SOFT,2,3,77.216,0.457,1.44,9.263,-37.5,6.082,90.8,0.36,0.2061
2022,Italian,FP3,RIC,14,82.871,SOFT,2,5,79.382,0.238,1.915,8.256,-31.25,6.093,90.38,0.424,0.2053
2022,Italian,FP3,NOR,2,83.77,MEDIUM,1,2,77.492,1.297,1.546,8.383,-28.12,5.574,89.25,0.33,0.2082
2022,Italian,FP3,NOR,4,83.451,MEDIUM,1,4,78.344,0.178,1.803,9.769,-30.0,5.571,91.2,0.309,0.2061
2022,Italian,FP3,NOR,6,86.438,MEDIUM,1,6,69.462,2.488,7.802,9.603,-30.56,6.101,89.31,0.554,0.21
2022,Italian,FP3,NOR,7,84.569,MEDIUM,1,7,76.314,1.207,2.17,9.69,-30.12,5.574,89.87,0.325,0.1993
2022,Italian,FP3,NOR,8,85.446,MEDIUM,1,8,76.943,1.082,2.634,8.813,-29.17,5.397,89.67,0.385,0.2082
2022,Italian,FP3,NOR,11,82.319,SOFT,2,2,78.932,0.064,2.383,9.649,-31.25,5.576,92.63,0.408,0.2073
2022,Italian,FP3,VET,4,84.299,SOFT,3,2,77.962,2.199,0.394,9.622,-38.62,6.599,82.72,0.0,0.2088
2022,Italian,FP3,VET,6,83.912,SOFT,3,4,77.705,2.372,0.38,9.539,-29.69,5.735,82.03,0.64,0.2038
2022,Italian,FP3,VET,9,83.855,SOFT,3,7,80.118,0.934,0.825,9.862,-37.5,5.909,87.17,0.22,0.2053
2022,Italian,FP3,VET,13,83.835,SOFT,5,2,76.974,3.641,0.476,9.827,-34.09,5.917,84.04,0.28,0.2073
2022,Italian,FP3,VET,17,83.104,SOFT,6,6,78.238,2.823,0.222,10.391,-35.71,6.085,83.16,0.16,0.2074
2022,Italian,FP3,LAT,2,84.486,SOFT,1,2,76.852,0.09,1.123,11.315,-28.89,5.215,89.71,0.36,0.2128
2022,Italian,FP3,LAT,4,83.552,SOFT,1,4,77.82,1.159,0.628,10.241,-35.0,5.568,89.82,0.22,0.2105
