year,gp,session_type,driver,lap_number,lap_time_s,compound,cluster,label
2022,Italian,FP3,VER,4,81.872,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,VER,7,86.203,MEDIUM,1,Lift and Coast
2022,Italian,FP3,VER,8,85.547,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,VER,9,86.04,MEDIUM,1,Lift and Coast
2022,Italian,FP3,VER,10,85.8,MEDIUM,1,Lift and Coast
2022,Italian,FP3,VER,11,85.878,MEDIUM,1,Lift and Coast
2022,Italian,FP3,VER,14,81.252,SOFT,3,Vuelta de ataque
2022,Italian,FP3,VER,17,81.463,SOFT,3,Vuelta de ataque
2022,Italian,FP3,RIC,2,84.01,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,RIC,4,83.627,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,RIC,6,83.698,MEDIUM,1,Lift and Coast
2022,Italian,FP3,RIC,7,86.597,MEDIUM,1,Lift and Coast
2022,Italian,FP3,RIC,12,83.134,SOFT,3,Vuelta de ataque
2022,Italian,FP3,RIC,14,82.871,SOFT,1,Lift and Coast
2022,Italian,FP3,NOR,2,83.77,MEDIUM,1,Lift and Coast
2022,Italian,FP3,NOR,4,83.451,MEDIUM,1,Lift and Coast
2022,Italian,FP3,NOR,6,86.438,MEDIUM,1,Lift and Coast
2022,Italian,FP3,NOR,7,84.569,MEDIUM,1,Lift and Coast
2022,Italian,FP3,NOR,8,85.446,MEDIUM,1,Lift and Coast
2022,Italian,FP3,NOR,11,82.319,SOFT,1,Lift and Coast
2022,Italian,FP3,VET,4,84.299,SOFT,2,Tracción Comprometida
2022,Italian,FP3,VET,6,83.912,SOFT,1,Lift and Coast
2022,Italian,FP3,VET,9,83.855,SOFT,3,Vuelta de ataque
2022,Italian,FP3,VET,13,83.835,SOFT,2,Tracción Comprometida
2022,Italian,FP3,VET,17,83.104,SOFT,2,Tracción Comprometida
2022,Italian,FP3,LAT,2,84.486,SOFT,1,Lift and Coast
2022,Italian,FP3,LAT,4,83.552,SOFT,3,Vuelta de ataque
2022,Italian,FP3,LAT,7,83.968,SOFT,3,Vuelta de ataque
2022,Italian,FP3,LAT,11,82.786,SOFT,3,Vuelta de ataque
2022,Italian,FP3,LAT,13,82.776,SOFT,3,Vuelta de ataque
2022,Italian,FP3,LAT,15,83.013,SOFT,1,Lift and Coast
2022,Italian,FP3,GAS,3,83.994,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,GAS,5,83.641,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,GAS,7,83.315,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,GAS,9,83.873,MEDIUM,1,Lift and Coast
2022,Italian,FP3,GAS,12,82.84,SOFT,1,Lift and Coast
2022,Italian,FP3,GAS,15,82.755,SOFT,3,Vuelta de ataque
2022,Italian,FP3,GAS,17,83.226,SOFT,3,Vuelta de ataque
2022,Italian,FP3,PER,2,83.448,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,PER,4,82.611,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,PER,6,82.148,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,PER,9,85.943,MEDIUM,1,Lift and Coast
2022,Italian,FP3,PER,10,86.356,MEDIUM,1,Lift and Coast
2022,Italian,FP3,PER,11,86.386,MEDIUM,1,Lift and Coast
2022,Italian,FP3,PER,12,86.257,MEDIUM,1,Lift and Coast
2022,Italian,FP3,PER,13,86.484,MEDIUM,1,Lift and Coast
2022,Italian,FP3,PER,14,86.117,MEDIUM,1,Lift and Coast
2022,Italian,FP3,PER,15,86.157,MEDIUM,1,Lift and Coast
2022,Italian,FP3,PER,18,81.848,SOFT,3,Vuelta de ataque
2022,Italian,FP3,PER,23,82.033,SOFT,3,Vuelta de ataque
2022,Italian,FP3,ALO,2,83.196,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,ALO,5,85.216,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,ALO,7,83.453,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,ALO,10,82.306,SOFT,3,Vuelta de ataque
2022,Italian,FP3,ALO,13,82.495,SOFT,3,Vuelta de ataque
2022,Italian,FP3,LEC,2,82.47,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,LEC,4,81.944,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,LEC,9,81.605,SOFT,3,Vuelta de ataque
2022,Italian,FP3,LEC,11,81.599,SOFT,3,Vuelta de ataque
2022,Italian,FP3,MAG,13,83.44,SOFT,1,Lift and Coast
2022,Italian,FP3,MAG,15,83.203,SOFT,3,Vuelta de ataque
2022,Italian,FP3,TSU,3,85.225,HARD,3,Vuelta de ataque
2022,Italian,FP3,TSU,4,84.893,HARD,3,Vuelta de ataque
2022,Italian,FP3,TSU,6,84.279,HARD,3,Vuelta de ataque
2022,Italian,FP3,TSU,8,83.533,HARD,3,Vuelta de ataque
2022,Italian,FP3,TSU,13,86.552,HARD,1,Lift and Coast
2022,Italian,FP3,TSU,14,86.777,HARD,1,Lift and Coast
2022,Italian,FP3,TSU,15,86.521,HARD,1,Lift and Coast
2022,Italian,FP3,TSU,16,86.698,HARD,3,Vuelta de ataque
2022,Italian,FP3,TSU,17,86.685,HARD,1,Lift and Coast
2022,Italian,FP3,TSU,18,86.189,HARD,1,Lift and Coast
2022,Italian,FP3,TSU,21,83.147,SOFT,3,Vuelta de ataque
2022,Italian,FP3,TSU,25,82.43,SOFT,3,Vuelta de ataque
2022,Italian,FP3,ZHO,2,83.849,SOFT,3,Vuelta de ataque
2022,Italian,FP3,ZHO,4,83.676,SOFT,3,Vuelta de ataque
2022,Italian,FP3,ZHO,7,82.657,SOFT,3,Vuelta de ataque
2022,Italian,FP3,ZHO,9,83.505,SOFT,3,Vuelta de ataque
2022,Italian,FP3,OCO,2,84.205,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,OCO,4,83.527,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,OCO,6,83.526,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,OCO,7,85.594,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,OCO,10,82.506,SOFT,3,Vuelta de ataque
2022,Italian,FP3,OCO,12,83.152,SOFT,2,Tracción Comprometida
2022,Italian,FP3,OCO,15,83.183,SOFT,3,Vuelta de ataque
2022,Italian,FP3,HAM,2,85.397,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,HAM,3,84.842,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,HAM,4,84.455,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,HAM,5,84.565,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,HAM,6,85.321,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,HAM,7,84.675,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,HAM,10,83.34,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,HAM,15,82.567,SOFT,3,Vuelta de ataque
2022,Italian,FP3,HAM,18,83.012,SOFT,3,Vuelta de ataque
2022,Italian,FP3,DEV,2,85.367,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,DEV,5,84.941,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,DEV,7,84.79,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,DEV,9,84.708,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,DEV,13,82.869,SOFT,2,Tracción Comprometida
2022,Italian,FP3,DEV,15,83.37,SOFT,2,Tracción Comprometida
2022,Italian,FP3,DEV,17,83.717,SOFT,3,Vuelta de ataque
2022,Italian,FP3,MSC,2,83.894,SOFT,3,Vuelta de ataque
2022,Italian,FP3,MSC,4,83.392,SOFT,3,Vuelta de ataque
2022,Italian,FP3,SAI,3,82.653,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,SAI,6,83.896,MEDIUM,2,Tracción Comprometida
2022,Italian,FP3,SAI,9,81.897,SOFT,2,Tracción Comprometida
2022,Italian,FP3,SAI,13,86.314,SOFT,1,Lift and Coast
2022,Italian,FP3,SAI,14,85.957,SOFT,2,Tracción Comprometida
2022,Italian,FP3,SAI,15,86.153,SOFT,2,Tracción Comprometida
2022,Italian,FP3,RUS,2,85.377,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,RUS,3,85.102,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,RUS,4,84.995,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,RUS,5,84.454,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,RUS,6,84.94,MEDIUM,1,Lift and Coast
2022,Italian,FP3,RUS,7,84.735,MEDIUM,1,Lift and Coast
2022,Italian,FP3,RUS,8,84.737,MEDIUM,1,Lift and Coast
2022,Italian,FP3,RUS,9,84.926,MEDIUM,1,Lift and Coast
2022,Italian,FP3,RUS,12,83.876,MEDIUM,3,Vuelta de ataque
2022,Italian,FP3,RUS,15,82.357,SOFT,3,Vuelta de ataque
2022,Italian,FP3,RUS,18,82.924,SOFT,3,Vuelta de ataque
2022,Italian,FP3,RUS,21,82.595,SOFT,1,Lift and Coast
2022,Italian,FP3,BOT,3,84.244,SOFT,3,Vuelta de ataque
2022,Italian,FP3,BOT,5,84.363,SOFT,3,Vuelta de ataque
2022,Italian,FP3,BOT,22,82.95,SOFT,3,Vuelta de ataque
2022,Italian,Q,LEC,2,81.28,SOFT,3,Vuelta de ataque
