year,round,circuito,track_temp_mean,air_temp_mean,n_samples
2020,1,Austrian Grand Prix,52.02,28.68,120
2020,2,Styrian Grand Prix,39.92,20.82,120
2020,3,Hungarian Grand Prix,27.13,20.74,134
2020,4,British Grand Prix,40.63,21.29,128
2020,5,70th Anniversary Grand Prix,43.23,25.29,116
2020,6,Spanish Grand Prix,47.56,29.8,129
2020,7,Belgian Grand Prix,29.82,18.57,121
2020,8,Italian Grand Prix,41.2,28.09,143
2020,9,Tuscan Grand Prix,43.1,30.17,176
2020,10,Russian Grand Prix,40.34,28.81,132
2020,11,Eifel Grand Prix,16.36,9.5,98
2020,12,Portuguese Grand Prix,25.72,20.51,128
2020,13,Emilia Romagna Grand Prix,23.26,18.03,125
2020,14,Turkish Grand Prix,15.21,13.1,139
2020,15,Bahrain Grand Prix,27.55,25.1,216
2020,16,Sakhir Grand Prix,23.47,20.95,127
2020,17,Abu Dhabi Grand Prix,27.98,23.12,135
2021,1,Bahrain Grand Prix,27.63,20.54,133
2021,2,Emilia Romagna Grand Prix,16.83,10.62,161
2021,3,Portuguese Grand Prix,38.95,19.39,134
2021,4,Spanish Grand Prix,32.92,22.2,130
2021,5,Monaco Grand Prix,37.6,20.76,135
2021,6,Azerbaijan Grand Prix,38.31,24.17,172
2021,7,French Grand Prix,35.23,25.31,125
2021,8,Styrian Grand Prix,52.35,26.69,118
2021,9,Austrian Grand Prix,33.18,20.97,156
2021,10,British Grand Prix,50.93,29.4,184
2021,11,Hungarian Grand Prix,37.82,27.23,191
2021,12,Belgian Grand Prix,15.26,13.01,290
2021,13,Dutch Grand Prix,36.11,21.5,158
2021,14,Italian Grand Prix,43.53,28.89,149
2021,15,Russian Grand Prix,21.76,19.14,158
2021,16,Turkish Grand Prix,18.18,15.83,157
2021,17,United States Grand Prix,37.47,28.15,161
2021,18,Mexico City Grand Prix,47.58,21.21,164
2021,19,São Paulo Grand Prix,51.56,23.14,158
2021,20,Qatar Grand Prix,30.6,26.42,152
2021,21,Saudi Arabian Grand Prix,31.68,28.82,193
2021,22,Abu Dhabi Grand Prix,28.47,24.52,157
2022,1,Bahrain Grand Prix,28.61,23.62,163
2022,2,Saudi Arabian Grand Prix,28.41,25.42,152
2022,3,Australian Grand Prix,37.41,26.7,156
2022,4,Emilia Romagna Grand Prix,17.42,12.9,158
2022,5,Miami Grand Prix,42.82,30.62,162
2022,6,Spanish Grand Prix,48.96,36.57,164
2022,7,Monaco Grand Prix,31.04,22.27,245
2022,8,Azerbaijan Grand Prix,47.15,25.44,161
2022,9,Canadian Grand Prix,41.26,20.76,162
2022,10,British Grand Prix,30.03,18.25,203
2022,11,Austrian Grand Prix,30.75,20.26,152
2022,12,French Grand Prix,54.46,30.16,128
2022,13,Hungarian Grand Prix,26.72,18.56,167
2022,14,Belgian Grand Prix,36.08,21.79,156
2022,15,Dutch Grand Prix,33.45,22.73,163
2022,16,Italian Grand Prix,43.14,27.73,147
2022,17,Singapore Grand Prix,28.97,26.23,255
2022,18,Japanese Grand Prix,19.93,16.72,255
2022,19,United States Grand Prix,35.52,29.29,170
2022,20,Mexico City Grand Prix,41.69,24.31,165
2022,21,São Paulo Grand Prix,46.05,23.01,167
2022,22,Abu Dhabi Grand Prix,34.31,28.58,155
2023,1,Bahrain Grand Prix,31.01,27.43,161
2023,2,Saudi Arabian Grand Prix,31.79,26.09,148
2023,3,Australian Grand Prix,30.14,17.45,222
2023,4,Azerbaijan Grand Prix,41.21,24.86,160
2023,5,Miami Grand Prix,36.69,27.12,155
2023,6,Monaco Grand Prix,39.26,25.07,176
2023,7,Spanish Grand Prix,33.84,22.67,154
2023,8,Canadian Grand Prix,30.59,18.53,162
2023,9,Austrian Grand Prix,32.05,22.4,153
2023,10,British Grand Prix,30.94,21.47,151
2023,11,Hungarian Grand Prix,48.58,28.81,164
2023,12,Belgian Grand Prix,28.24,17.87,150
2023,13,Dutch Grand Prix,24.94,16.79,209
2023,14,Italian Grand Prix,42.93,29.33,156
2023,15,Singapore Grand Prix,36.42,29.84,176
2023,16,Japanese Grand Prix,42.07,27.29,158
2023,17,Qatar Grand Prix,36.93,31.46,159
2023,18,United States Grand Prix,40.63,29.96,168
2023,19,Mexico City Grand Prix,45.64,25.55,190
2023,20,São Paulo Grand Prix,46.78,20.46,183
2023,21,Las Vegas Grand Prix,17.99,18.05,108
2023,22,Abu Dhabi Grand Prix,33.46,26.96,156
2024,1,Bahrain Grand Prix,23.65,18.23,157
2024,2,Saudi Arabian Grand Prix,31.59,25.53,146
2024,3,Australian Grand Prix,38.4,20.62,144
2024,4,Japanese Grand Prix,37.5,21.69,181
2024,5,Chinese Grand Prix,29.79,18.64,165
2024,6,Miami Grand Prix,44.66,28.52,150
2024,7,Emilia Romagna Grand Prix,42.02,25.11,143
2024,8,Monaco Grand Prix,46.32,21.6,200
2024,9,Canadian Grand Prix,24.57,17.8,113
2024,10,Spanish Grand Prix,41.1,24.13,154
2024,11,Austrian Grand Prix,46.42,29.43,143
2024,12,British Grand Prix,27.67,15.77,147
2024,13,Hungarian Grand Prix,44.92,28.82,155
2024,14,Belgian Grand Prix,42.27,21.33,137
2024,15,Dutch Grand Prix,30.81,19.01,153
2024,16,Italian Grand Prix,49.31,33.1,133
2024,17,Azerbaijan Grand Prix,44.35,26.71,152
2024,18,Singapore Grand Prix,36.45,30.79,160
2024,19,United States Grand Prix,46.6,28.12,155
2024,20,Mexico City Grand Prix,35.6,19.89,159
2024,21,São Paulo Grand Prix,25.77,21.66,201
2024,22,Las Vegas Grand Prix,17.72,17.83,143
2024,23,Qatar Grand Prix,22.77,18.93,151
2024,24,Abu Dhabi Grand Prix,31.81,26.77,148
2025,1,Australian Grand Prix,18.94,15.71,178
2025,2,Chinese Grand Prix,35.82,27.22,154
2025,3,Japanese Grand Prix,20.51,14.43,140
2025,4,Bahrain Grand Prix,31.87,27.05,158
2025,5,Saudi Arabian Grand Prix,37.82,29.48,142
2025,6,Miami Grand Prix,38.69,26.57,149
2025,7,Emilia Romagna Grand Prix,42.66,23.96,150
2025,8,Monaco Grand Prix,43.32,22.21,160
2025,9,Spanish Grand Prix,48.54,29.12,155
2025,10,Canadian Grand Prix,49.25,24.04,167
2025,11,Austrian Grand Prix,49.17,30.35,161
2025,12,British Grand Prix,23.58,17.92,155
2025,13,Belgian Grand Prix,24.09,17.03,223
2025,14,Hungarian Grand Prix,32.73,22.08,157
2025,15,Dutch Grand Prix,27.96,20.08,159
2025,16,Italian Grand Prix,43.29,26.76,144
2025,17,Azerbaijan Grand Prix,26.11,20.55,156
2025,18,Singapore Grand Prix,33.85,29.07,161
2025,19,United States Grand Prix,45.04,28.27,154
2025,20,Mexico City Grand Prix,50.59,26.41,162
2025,21,São Paulo Grand Prix,30.69,17.35,152
2025,22,Las Vegas Grand Prix,19.53,16.73,141
2025,23,Qatar Grand Prix,28.16,22.6,149
2025,24,Abu Dhabi Grand Prix,31.06,26.67,154
